epoch	train	5Mean	test	5Mean
1	77.69	77.69	86.25	86.25
2	82.25	79.97	89.75	88.0
3	85.0	81.65	87.75	87.92
4	85.75	82.67	90.25	88.5
5	88.94	83.92	91.25	89.05
6	90.0	86.39	93.25	90.45
7	89.81	87.9	94.25	91.35
8	91.19	89.14	92.0	92.2
9	90.38	90.06	93.75	92.9
10	92.0	90.68	89.75	92.6
11	91.88	91.05	94.75	92.9
12	92.56	91.6	93.75	92.8
13	92.0	91.76	92.75	92.95
14	92.06	92.1	94.25	93.05
15	92.38	92.18	93.5	93.8
16	95.44	92.89	93.5	93.55
17	94.5	93.28	93.75	93.55
18	95.0	93.88	94.0	93.8
19	94.69	94.4	94.75	93.9
20	95.12	94.95	93.0	93.8
21	95.06	94.88	94.5	94.0
22	96.19	95.21	94.5	94.15
23	95.81	95.38	96.0	94.55
24	95.5	95.54	95.0	94.6
25	96.62	95.84	95.0	95.0
26	95.56	95.94	92.5	94.6
27	96.44	95.99	95.75	94.85
28	97.19	96.26	94.25	94.5
29	96.25	96.41	96.5	94.8
30	96.19	96.32	95.25	94.85
31	97.38	96.69	94.75	95.3
32	97.0	96.8	93.75	94.9
33	97.81	96.92	94.75	95.0
34	98.12	97.3	94.5	94.6
35	97.62	97.59	94.25	94.4
36	97.69	97.65	95.25	94.5
37	97.75	97.8	95.0	94.75
38	97.81	97.8	94.0	94.6
39	97.88	97.75	95.0	94.7
40	98.0	97.82	94.5	94.75
41	97.88	97.86	94.5	94.6
42	97.62	97.84	95.25	94.65
43	97.94	97.86	93.75	94.6
44	98.0	97.89	94.5	94.5
45	97.94	97.88	94.75	94.55
46	98.44	97.99	94.75	94.6
47	98.25	98.11	94.75	94.5
48	98.44	98.21	95.0	94.75
49	98.31	98.28	94.5	94.75
50	98.31	98.35	94.0	94.6
51	98.69	98.4	93.75	94.4
52	99.0	98.55	95.0	94.45
53	98.0	98.46	95.25	94.5
54	98.81	98.56	94.75	94.55
55	98.12	98.52	94.0	94.55
56	98.38	98.46	94.25	94.65
57	98.62	98.39	95.0	94.65
58	98.56	98.5	94.75	94.55
59	98.88	98.51	94.0	94.4
60	98.25	98.54	94.75	94.55
61	98.94	98.65	95.75	94.85
62	99.19	98.76	95.5	94.95
63	98.69	98.79	95.5	95.1
64	99.0	98.81	95.5	95.4
65	98.94	98.95	95.25	95.5
66	99.12	98.99	94.0	95.15
67	98.94	98.94	94.75	95.0
68	98.88	98.98	94.5	94.8
69	98.62	98.9	95.0	94.7
70	99.0	98.91	94.5	94.55
71	99.25	98.94	95.5	94.85
72	99.25	99.0	94.25	94.75
73	99.12	99.05	94.5	94.75
74	99.06	99.14	95.0	94.75
75	99.0	99.14	94.75	94.8
76	99.38	99.16	94.75	94.65
77	98.94	99.1	94.5	94.7
78	99.38	99.15	95.0	94.8
79	99.25	99.19	94.0	94.6
80	98.94	99.18	94.5	94.55
Best	99.38	99.19	96.5	95.5
